ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000922.CSI,20170922,4690.0497,4675.4722,4694.6837,4666.803,4683.8211,6.2286,0.133,29903038.0,38602597.0945
000922.CSI,20170921,4683.8211,4684.9743,4706.5151,4679.6085,4685.9117,-2.0906,-0.0446,29401871.0,37098157.2817
000922.CSI,20170920,4685.9117,4661.1783,4695.3199,4659.5629,4663.1889,22.7228,0.4873,29343733.0,40279025.9993
000922.CSI,20170919,4663.1889,4679.7933,4690.7733,4650.4777,4676.9236,-13.7347,-0.2937,33619650.0,42491549.5297
000922.CSI,20170918,4676.9236,4665.0085,4693.2562,4665.0085,4666.9108,10.0128,0.2145,32477806.0,42645727.9671
000922.CSI,20170915,4666.9108,4668.6438,4674.0153,4649.0504,4675.2538,-8.343,-0.1785,38708142.0,48210514.2991
000922.CSI,20170914,4675.2538,4689.761,4699.7274,4660.056,4686.9195,-11.6657,-0.2489,35049957.0,43506441.025
000922.CSI,20170913,4686.9195,4676.2296,4692.0849,4669.6343,4677.3236,9.5959,0.2052,27630845.0,38312426.2056
000922.CSI,20170912,4677.3236,4661.658,4688.2942,4658.0296,4657.8476,19.476,0.4181,37206662.0,48496708.5087
000922.CSI,20170911,4657.8476,4653.6603,4678.1688,4644.5031,4649.4264,8.4212,0.1811,34733222.0,42687497.8151
000922.CSI,20170908,4649.4264,4653.0839,4666.5476,4636.8715,4654.1555,-4.7291,-0.1016,29015096.0,38583150.0641
000922.CSI,20170907,4654.1555,4665.7061,4676.1909,4652.3937,4664.5029,-10.3474,-0.2218,33077199.0,42677272.1437
000922.CSI,20170906,4664.5029,4662.6008,4669.9999,4643.8712,4672.39,-7.8871,-0.1688,32646041.0,38702955.6347
000922.CSI,20170905,4672.39,4667.7905,4683.2398,4663.2101,4669.584,2.806,0.0601,37854950.0,41696871.9446
000922.CSI,20170904,4669.584,4665.5862,4671.2157,4647.9436,4663.4789,6.1051,0.1309,48029242.0,50859716.0138
000922.CSI,20170901,4663.4789,4662.3242,4680.527,4650.392,4653.353,10.1259,0.2176,47656766.0,54419158.3849
000922.CSI,20170831,4653.353,4681.877,4683.5852,4628.7804,4681.0835,-27.7305,-0.5924,42856937.0,49449864.3673
000922.CSI,20170830,4681.0835,4679.8127,4694.2226,4673.5319,4676.5404,4.5431,0.0971,40307845.0,47454051.7592
000922.CSI,20170829,4676.5404,4675.271,4687.3599,4665.5901,4679.7912,-3.2508,-0.0695,34900340.0,41894676.9079
000922.CSI,20170828,4679.7912,4655.9527,4702.2116,4655.9527,4646.5415,33.2497,0.7156,56294649.0,66510905.8377
000922.CSI,20170825,4646.5415,4584.9825,4646.9557,4584.5565,4588.2694,58.2721,1.27,49180084.0,51571951.5325
000922.CSI,20170824,4588.2694,4589.4452,4605.7644,4576.1484,4591.5746,-3.3052,-0.072,28271769.0,31976756.663
000922.CSI,20170823,4591.5746,4587.9248,4603.4842,4576.4707,4593.6098,-2.0352,-0.0443,30675325.0,34708244.9172
000922.CSI,20170822,4593.6098,4593.9748,4596.0127,4577.5348,4592.5755,1.0343,0.0225,27423671.0,36576604.6481
000922.CSI,20170821,4592.5755,4579.3125,4593.3234,4570.7049,4574.2653,18.3102,0.4003,27268442.0,31201844.1436
000922.CSI,20170818,4574.2653,4542.3262,4580.5229,4535.6609,4563.4608,10.8045,0.2368,27895330.0,31999385.5804
000922.CSI,20170817,4563.4608,4541.5341,4563.6823,4539.1299,4541.2494,22.2114,0.4891,28269929.0,33335828.7266
000922.CSI,20170816,4541.2494,4550.6618,4551.3467,4529.2701,4556.8969,-15.6475,-0.3434,27318185.0,31153950.697
000922.CSI,20170815,4556.8969,4531.4528,4570.5182,4531.4528,4528.7969,28.1,0.6205,38134146.0,39726622.3188
000922.CSI,20170814,4528.7969,4489.65,4534.0096,4489.65,4492.2127,36.5842,0.8144,35188812.0,40542087.0524
000922.CSI,20170811,4492.2127,4539.3413,4549.7318,4486.2125,4572.0537,-79.841,-1.7463,46177140.0,49384867.1981
000922.CSI,20170810,4572.0537,4579.616,4600.4283,4533.3014,4584.5542,-12.5005,-0.2727,34810358.0,41439970.029
000922.CSI,20170809,4584.5542,4570.1703,4593.4106,4554.848,4572.1976,12.3566,0.2703,33520434.0,40634300.7765
000922.CSI,20170808,4572.1976,4579.708,4584.6436,4560.8789,4577.6379,-5.4403,-0.1188,31704748.0,34441047.0274
000922.CSI,20170807,4577.6379,4540.5735,4578.6887,4519.7349,4548.567,29.0709,0.6391,34607797.0,40128540.3906
000922.CSI,20170804,4548.567,4566.9566,4579.3392,4547.4258,4569.5417,-20.9747,-0.459,37548487.0,43182238.3077
000922.CSI,20170803,4569.5417,4601.4024,4613.7382,4557.3188,4606.6739,-37.1322,-0.8061,40561430.0,47367053.4461
000922.CSI,20170802,4606.6739,4625.3118,4642.0063,4604.6387,4627.9797,-21.3058,-0.4604,46854737.0,51415410.4938
000922.CSI,20170801,4627.9797,4604.2587,4633.7497,4602.5181,4599.8862,28.0935,0.6107,40405819.0,48285032.1419
000922.CSI,20170731,4599.8862,4577.4684,4607.7762,4570.2494,4581.2797,18.6065,0.4061,36381445.0,44441159.2291
000922.CSI,20170728,4581.2797,4554.0817,4584.481,4545.4534,4564.1852,17.0945,0.3745,27875098.0,33188279.9183
000922.CSI,20170727,4564.1852,4561.0157,4570.7808,4530.6413,4568.7753,-4.5901,-0.1005,38212313.0,44211128.525
000922.CSI,20170726,4568.7753,4589.271,4610.8684,4538.6601,4592.2879,-23.5126,-0.512,44149567.0,49595898.1997
000922.CSI,20170725,4592.2879,4611.884,4619.0062,4578.5757,4615.1739,-22.886,-0.4959,44226107.0,45758774.469
000922.CSI,20170724,4615.1739,4579.6536,4628.9628,4578.3994,4585.4932,29.6807,0.6473,46958495.0,55146235.3008
000922.CSI,20170721,4585.4932,4577.5121,4600.7303,4569.3829,4588.1138,-2.6206,-0.0571,39146691.0,45289026.0844
000922.CSI,20170720,4588.1138,4547.7453,4589.2077,4544.1903,4549.8094,38.3044,0.8419,43214046.0,52443702.19
000922.CSI,20170719,4549.8094,4480.7135,4551.6532,4478.0185,4489.5263,60.2831,1.3427,56243367.0,63097965.171
000922.CSI,20170718,4489.5263,4472.8161,4489.5263,4442.4238,4489.0145,0.5118,0.0114,45978938.0,50254144.8104
000922.CSI,20170717,4489.0145,4542.733,4558.7629,4445.5771,4544.4579,-55.4434,-1.22,70042317.0,69357133.0694
000922.CSI,20170714,4544.4579,4511.6877,4544.4579,4503.4695,4517.2001,27.2578,0.6034,38371221.0,42155868.7763
000922.CSI,20170713,4517.2001,4502.0056,4523.7168,4497.2669,4505.9103,11.2898,0.2506,46963943.0,52546012.0571
000922.CSI,20170712,4505.9103,4526.9321,4540.8826,4483.0969,4526.76,-20.8497,-0.4606,46473997.0,52387260.3775
000922.CSI,20170711,4526.76,4497.6141,4554.3224,4497.1717,4506.2167,20.5433,0.4559,42521202.0,52105581.3819
000922.CSI,20170710,4506.2167,4500.9786,4518.724,4491.9956,4517.368,-11.1513,-0.2469,33020546.0,41403485.4173
000922.CSI,20170707,4517.368,4504.7662,4517.4685,4490.7365,4515.5788,1.7892,0.0396,29429127.0,36862059.0624
000922.CSI,20170706,4515.5788,4511.6786,4524.3211,4482.865,4514.0952,1.4836,0.0329,30468120.0,38622553.6337
000922.CSI,20170705,4514.0952,4469.2667,4515.1299,4461.5247,4483.8044,30.2908,0.6756,28414618.0,37870866.4481
000922.CSI,20170704,4483.8044,4514.147,4514.2483,4469.0261,4518.9225,-35.1181,-0.7771,32559074.0,42092486.3274
000922.CSI,20170703,4518.9225,4529.3787,4532.9583,4494.6249,4527.2442,-8.3217,-0.1838,27852731.0,36387785.8066
000922.CSI,20170630,4527.2442,4505.1558,4528.1429,4495.8057,4525.3729,1.8713,0.0414,26985204.0,34128545.7018
000922.CSI,20170629,4525.3729,4509.6266,4526.1361,4501.9723,4509.997,15.3759,0.3409,27985662.0,36809984.4432
000922.CSI,20170628,4509.997,4523.7981,4542.3921,4506.5392,4534.924,-24.927,-0.5497,38652218.0,48576917.0067
000922.CSI,20170627,4534.924,4522.3762,4536.1176,4500.5716,4525.7314,9.1926,0.2031,36376357.0,45258388.7066
000922.CSI,20170626,4525.7314,4476.9214,4534.4138,4475.9177,4475.0282,50.7032,1.133,52109412.0,65256493.6694
000922.CSI,20170623,4475.0282,4427.1904,4475.0282,4405.7451,4438.0413,36.9869,0.8334,37908496.0,47584411.1622
000922.CSI,20170622,4438.0413,4439.1917,4489.1368,4435.66,4439.0621,-1.0208,-0.023,54477514.0,63888633.9153
000922.CSI,20170621,4439.0621,4404.6514,4439.0621,4379.967,4387.9023,51.1598,1.1659,28489575.0,38593790.8021
000922.CSI,20170620,4387.9023,4399.447,4406.5847,4378.9604,4393.3781,-5.4758,-0.1246,26448520.0,33621237.162
000922.CSI,20170619,4393.3781,4361.8462,4398.0827,4358.958,4362.8578,30.5203,0.6995,26835487.0,32638269.8829
000922.CSI,20170616,4362.8578,4377.1914,4390.8606,4356.5717,4391.9864,-29.1286,-0.6632,23983938.0,29596571.08
000922.CSI,20170615,4391.9864,4402.8211,4415.6188,4373.8256,4413.1828,-21.1964,-0.4803,27119058.0,34082570.4338
000922.CSI,20170614,4413.1828,4458.4792,4459.4061,4403.6121,4477.0165,-63.8337,-1.4258,29769012.0,38583069.3013
000922.CSI,20170613,4477.0165,4458.9361,4477.8924,4446.5606,4462.2744,14.7421,0.3304,25900091.0,33585869.2219
000922.CSI,20170612,4462.2744,4442.5774,4494.5253,4435.821,4450.9515,11.3229,0.2544,36815719.0,46792420.435
000922.CSI,20170609,4450.9515,4433.5814,4462.0433,4432.0573,4437.7686,13.1829,0.2971,42241481.0,48731079.1241
000922.CSI,20170608,4437.7686,4395.2683,4438.4876,4392.413,4397.4418,40.3268,0.9171,32718361.0,41646035.7007
000922.CSI,20170607,4397.4418,4336.4932,4397.5454,4333.0041,4338.8753,58.5665,1.3498,39258614.0,46109867.9863
000922.CSI,20170606,4338.8753,4308.9495,4339.0048,4301.9237,4316.4988,22.3765,0.5184,24459509.0,28653482.634
000922.CSI,20170605,4316.4988,4333.0429,4337.3395,4310.4248,4338.4682,-21.9694,-0.5064,37087546.0,34528062.9403
000922.CSI,20170602,4338.4682,4324.0385,4343.5928,4311.0098,4330.8926,7.5756,0.1749,32627819.0,34040982.6128
000922.CSI,20170601,4330.8926,4325.182,4338.5376,4317.646,4338.3074,-7.4148,-0.1709,37271164.0,41461345.3283
000922.CSI,20170531,4338.3074,4350.1951,4359.6946,4311.6938,4331.2771,7.0303,0.1623,39767032.0,43777276.2477
000922.CSI,20170526,4331.2771,4315.6822,4342.8643,4315.6755,4325.1642,6.1129,0.1413,41166947.0,43135781.2911
000922.CSI,20170525,4325.1642,4254.487,4336.5124,4251.0864,4266.9756,58.1886,1.3637,60572281.0,58154412.4926
000922.CSI,20170524,4266.9756,4242.6662,4266.9756,4210.6377,4259.5387,7.4369,0.1746,31872165.0,35516497.0249
000922.CSI,20170523,4259.5387,4240.4344,4275.9127,4237.0766,4248.4414,11.0973,0.2612,45378620.0,49234357.3422
000922.CSI,20170522,4248.4414,4255.0378,4269.5154,4224.771,4261.365,-12.9236,-0.3033,34583086.0,36660310.7027
000922.CSI,20170519,4261.365,4238.8383,4265.0121,4238.7493,4245.369,15.996,0.3768,26032069.0,30103234.326
000922.CSI,20170518,4245.369,4235.2614,4257.5591,4227.485,4265.5256,-20.1566,-0.4725,28900771.0,30219446.4019
000922.CSI,20170517,4265.5256,4273.7614,4290.7755,4261.7099,4278.0779,-12.5523,-0.2934,35244516.0,38932512.4284
000922.CSI,20170516,4278.0779,4218.2751,4278.2487,4198.8261,4228.9447,49.1332,1.1618,36722932.0,40568659.6047
000922.CSI,20170515,4228.9447,4203.7604,4232.9463,4203.7604,4202.116,26.8287,0.6385,33005335.0,35672935.0349
000922.CSI,20170512,4202.116,4162.3969,4206.5679,4158.839,4170.4773,31.6387,0.7586,39023399.0,38584658.8366
000922.CSI,20170511,4170.4773,4126.4768,4170.8104,4103.0889,4147.8216,22.6557,0.5462,38555442.0,38914483.9604
000922.CSI,20170510,4147.8216,4189.6746,4203.4867,4145.4087,4192.6161,-44.7945,-1.0684,30143482.0,32462300.6707
000922.CSI,20170509,4192.6161,4178.262,4201.1629,4162.456,4194.2355,-1.6194,-0.0386,27660672.0,29968261.9157
000922.CSI,20170508,4194.2355,4213.7051,4219.1298,4176.271,4229.099,-34.8635,-0.8244,41687330.0,43661736.5418
000922.CSI,20170505,4229.099,4233.9135,4238.1344,4210.3299,4251.87,-22.771,-0.5356,38703941.0,41342629.8463
000922.CSI,20170504,4251.87,4245.6277,4276.3186,4229.3998,4254.3241,-2.4541,-0.0577,34232696.0,36362737.8178
000922.CSI,20170503,4254.3241,4270.1733,4282.9469,4241.1734,4281.1334,-26.8093,-0.6262,30178502.0,32865411.6982
000922.CSI,20170502,4281.1334,4284.9557,4292.8856,4270.5918,4302.8443,-21.7109,-0.5046,31151226.0,35776868.2421
000922.CSI,20170428,4302.8443,4311.8964,4313.1707,4279.9363,4329.6307,-26.7864,-0.6187,35230319.0,41825307.4889
000922.CSI,20170427,4329.6307,4325.192,4336.6235,4272.9309,4339.4801,-9.8494,-0.227,47114012.0,48849771.2507
000922.CSI,20170426,4339.4801,4331.9104,4361.2817,4327.5541,4335.3748,4.1053,0.0947,38938913.0,45514668.8239
000922.CSI,20170425,4335.3748,4313.3581,4348.5872,4305.4088,4315.195,20.1798,0.4676,32852893.0,35967482.0927
000922.CSI,20170424,4315.195,4356.8334,4356.8334,4285.9903,4369.3495,-54.1545,-1.2394,40934182.0,42793711.7038
000922.CSI,20170421,4369.3495,4361.4893,4379.9135,4351.3138,4366.1882,3.1613,0.0724,39306744.0,41862926.0027
000922.CSI,20170420,4366.1882,4344.8134,4376.491,4340.435,4347.3065,18.8817,0.4343,40051846.0,49580310.8134
000922.CSI,20170419,4347.3065,4349.9437,4355.76,4306.7926,4365.363,-18.0565,-0.4136,42176660.0,46469250.0694
000922.CSI,20170418,4365.363,4367.91,4401.3862,4365.363,4375.8763,-10.5133,-0.2403,39680450.0,46020615.3907
000922.CSI,20170417,4375.8763,4379.3285,4382.3775,4345.1322,4397.7294,-21.8531,-0.4969,35254382.0,37385851.0149
